id,How many years of software engineering experience do you have? ,What is your current role ?,"On average, how many configuration options does your typical application have (application-specific) or use (3rd party library)? ",Do you have personal experience with creating new configuration options?,Where do you store your configuration options?,How do you access this configuration storage in the code?,How are the values of application-specific configuration options available in the code?,From where do you read your configuration options?,What is the most frequent profile of people adding new configuration options? ,Why?,Is the creation of configuration options planned beforehand?,How do you decide configuration default values?,How do you communicate newly created options and their possible values to the team ? ,Do you use any naming conventions to ensure a coherence between configuration option names?,How often do you face configuration errors? ,How difficult is it to debug an error which is due to a misconfigured option?,What artefacts do you use to fix a configuration error?,Where do you document configuration-related errors and their solutions? ,Are you always aware of the impact of changing one of the application-specific configuration options?,Which artefacts do you use to understand application-specific configuration parameters? ,Do the names or the default values of your application-specific configuration options change across time?,What do you do with dead configuration options that are no longer useful? ,How would you rate the quality of the documentation (text documents or online documentation) of application-specific configuration options in the systems you participated in their developments ?  ,How would you rate the quality of the comments of configuration options (used within configuration files to explain the meaning and possible values of options)? ,Please explain the factors that lead to that quality (your previous two answers) of comments and documentation ,Do you consider configuration options during code review? ,Which techniques do you use to assure the quality of configuration options?,What could reduce the most the complexity of the configuration of a software project?,Could you describe some important problems related to configuration (in terms of creation/management/maintenance or any other theme) that you faced during your current and/or previous experiences and how did you fix them ? ,What could you suggest as 3 good practices and 3 bad practices to a new development team in order to have a good configuration quality and to avoid configuration problems?
1,2,Developer,10<#<100,Yes,.xml file;.json file,Via an IO library to read the configuration storage.;Via a 3rd party framework dedicated to configuration,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values,We read configuration options from a specific class/module,Certain expert developers,Stable,"Yes, they are defined in the client specifications;Yes, they are defined in the architecture specifications",Client requirements.;Architectural specifications.,Orally;Chat support (like Slack or Hangout);Via Wiki or a web platform,"Yes. We do have a naming convention, and all the developers respect it.",Often,3,Log file;Error message;Documentation;Debug the code,In the commit message;In a Wiki,"Yes, I know the impact of the majority of configuration options.",Documentation.;Ask a colleague;Configuration option comments.,"Yes, they change but not frequently","Remove them from the configuration files, and store them in a databse.",4,2,Reliable,"Yes, but we review only technical configuration options.",We have tools to check correctness of the values;Default values are backed-up in a database to easily roll back.;Test different configuration values,Allow only experienced people to modify configuration files.;Comment and document configuration options.;Planning ahead the creation of options.;Use a separate software to manage configuration options.,No yet,"Avoid typo, read documents, check stackoverflow"
2,6,Developer,<10,Yes,.xml file,Via an IO library to read the configuration storage.,As attributes/variables with the same name of its associated configuration option,We read configuration options from a specific class/module,Any developer,No specific reason,"Yes, they are defined in the architecture specifications",Ad hoc choices. It is up to the developer to decide.,Orally,"Yes. We do have a naming convention, but not all the developers respect it.",Often,3,Log file;Error message;Documentation;Debug the code;Google the error;Stack Trace,In the commit message;In a Bug report (like Bugzilla);In text document,"Yes, I know the impact of few configuration options.",Documentation.;Ask a colleague;Configuration option comments.,"Yes, they change but not frequently","We do not remove them, we keep them in the configuration files.",3,3,Trying to get things working without investing proper time in studying the docs,"Yes, but we review only technical configuration options.",Test different configuration values,Planning ahead the creation of options.,"variable change name, looking back into git history","Good:
Plan in advance the structure of the configuration, discusss it with colleagues, list pro and vs of each approach and compare
Bad:
Do it yourself, without any confrontation."
3,15,Architect,"100<#<1,000",Yes,".properties file;.xml file;In a table within the database used for the application;Environment variables (e.g., Bash);LDAP or another directory service (e.g., Zookeeper)",Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values;Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Architects and developers,"some options are internal, so any developper can add them.","Yes, they are defined in the client specifications;Yes, they are defined in the architecture specifications;No planning, options are added ad hoc",Client requirements.;Architectural specifications.;Discussion between developers and architects.;Making tests until finding the optimal value for a parameter.;Ad hoc choices. It is up to the developer to decide.,Textual documentation,"Yes. We do have a naming convention, but not all the developers respect it.",Sometimes,3,Log file;Error message;Documentation,In text document,"Yes, I know the impact of few configuration options.",Documentation.;Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code;I Google configuration names.,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,3,previous issues. Developper expertise.,"Yes, we review both functional and technical configuration options.",Default values are backed-up in a database to easily roll back.,Reduce the number of configuration options.,some options are not tested well enough. ,replace configuration options by auto-guessing features
4,11,Architect,10<#<100,Yes,hocon (typesafe configuration),Via a 3rd party framework dedicated to configuration,As attributes/variables with the same name of its associated configuration option,In Guice modules,Any developer,Shared code,"No planning, options are added ad hoc",Default for local development ,Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Never,1,Stack Trace,Nowhere,"Yes, I know the impact of all the configuration options.",Configuration option comments.;Configuration name is clear enough to be understood.,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",2,1,Not needed,"Yes, we review both functional and technical configuration options.",Using containers (like Docker) to limit the impact of configuration options.,NA,NA,Externalize from code using DI
5,2,Developer,"100<#<1,000",Yes,.properties file;.xml file,Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,Via method/function accessors (for example getMyOption),We read configuration options in different places in the code,Any developer,"Because we made this easy using our Guice framework, and we have unit tests.","No planning, options are added ad hoc",Ad hoc choices. It is up to the developer to decide.,Via Wiki or a web platform;Textual documentation;Pull Request;Comments in documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,1,Log file;Error message;Stack Trace,None are part of the main source code.,"Yes, I know the impact of all the configuration options.",Documentation.;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",2,4,XML?,"Yes, we review both functional and technical configuration options.",We have tools to check correctness of the values;Security implications of configuration options are tested;Test different configuration values;Using containers (like Docker) to limit the impact of configuration options.,Reduce the number of configuration files.;Allow to start without any configuration when files are absent.,Lazy,Lazy
6,2,Architect,10<#<100,Yes,"In a table within the database used for the application;Environment variables (e.g., Bash)",Via dedicated classes/functions that we developed for configuration access,From tables and/or maps containing configuration options and values,We read configuration options in different places in the code,Only architects,There has to be an understanding of how it will be used and to make sure there's as little duplication as possible ,"Yes, they are defined in the architecture specifications",Client requirements.;Discussion between developers and architects.,Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Never,1,Log file;Error message,In the commit message,"Yes, I know the impact of few configuration options.",Documentation.,"Yes, they change but not frequently","We do not remove them, we keep them in the configuration files.",4,4,Good pr code reviews,"Yes, but we review only technical configuration options.",We have tools to check correctness of the values;Using containers (like Docker) to limit the impact of configuration options.,Reduce the number of configuration files.;Allow only few people to modify configuration files.;Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,"Naming, and duplication is an issue","Good, code reviews, pull requests with new options, keep changing naming to fit understanding. Bad decentralized configuration "
7,5,Developer,<10,Yes,.properties file;.xml file;.json file,Via a 3rd party framework dedicated to configuration;Via dedicated classes/functions that we developed for configuration access,As attributes/variables with the same name of its associated configuration option;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Certain expert developers,configuration options is mostly a task for developer,"depends, sometimes some of the options need to be added on the fly",Discussion between developers and architects.,Orally;Chat support (like Slack or Hangout);Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,3,Log file;Error message;Documentation;Debug the code;Google the error;Stack Trace,In a Wiki;In a Bug report (like Bugzilla),"Yes, I know the impact of all the configuration options.",Documentation.;Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.,"Yes, they change but not frequently","Remove them from the configuration files, and do not store them anywhere.",4,4,Meticulous reviews,"Yes, we review both functional and technical configuration options.",Security implications of configuration options are tested,Reduce the number of configuration files.;Allow only experienced people to modify configuration files.;Planning ahead the creation of options.,"all configuration scenarios must be tested, no tests = bugs which are subtle & difficult to fix ","Good - use frameworks (do not reinvent the wheel), cover different configuration scenarios with integration tests, use naming convention; BAD -  no tests, no frameworks, no naming convention "
8,14,Architect,10<#<100,Yes,".xml file;In a table within the database used for the application;I serialize object to xml, that object contains the settings i want to save/restore","there is a librarg called xstream, used to serialize obj to xml",As attributes/variables with the same name of its associated configuration option;From tables and/or maps containing configuration options and values,We read configuration options in different places in the code,Certain expert developers,"developers with passion always suggest to add options to help users to use the app, make it more user friendly","Yes, they are defined in the architecture specifications","default values should fit for most people, if there is an options to specific the background, make it default to white is better than green, because most people think that is more normal","code tell everything, ask them read it if they want to know. if they dont want to, no point to tell them.",No. We do not have any configuration options naming convention.,Never,1,Debug the code;Stack Trace,In a Wiki,"Yes, I know the impact of few configuration options.",Documentation.;Ask a colleague;I understand configuration options from the source code,"No, they are almost stable","We do not remove them, we keep them in the configuration files.",3,2,"only one suituation the document help us to understand the actual meaning of an option, is that the option invoke a very complex logic, making big change to the behavior of the app. in this case, i try to break that single option into more options.","Yes, we review both functional and technical configuration options.",Test different configuration values,Comment and document configuration options.,The one created that option has quited the team and that option invokded in too many places of the code and hard to guess what it does. No easy solution unless you more put more effort to read the code.,"ask because do, confirm the logic behind that option before you add to the code"
9,10,Architect,<10,Yes,".json file;.ini files;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.,From tables and/or maps containing configuration options and values,We read configuration options from a specific class/module,Architects and developers,Architects have a longer experience on the maintenance of the code and of the config options,"Yes, they are defined in the client specifications;Yes, they are defined in the architecture specifications",Client requirements.;Architectural specifications.;Discussion between developers and architects.,Chat support (like Slack or Hangout);Via Wiki or a web platform;Textual documentation;Pull Request,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Log file;Error message;Documentation;Debug the code,In a Wiki;In the configuration file,"Yes, I know the impact of the majority of configuration options.",Documentation.;Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",2,3,Eh ?!,"Yes, we review both functional and technical configuration options.",Using containers (like Docker) to limit the impact of configuration options.,Reduce the configuration option dependencies;Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,Wrong names will create confusion. Confusion in documentation means confusion in the code. It's an escalation of misunderstanding when you will extend/maintain the code.,"Wrong:
1. Use meaningless option names with no prefix/spacename 
2. Have one long config file, with options not ordered and commented
3. Declare unnecessary options
Good:
1. Keep the config file ordered and well commented
2. Use the most declarative names for the options
3. Keep the list of the options as small as possible"
10,10,Developer,10<#<100,Yes,".properties file;.xml file;.json file;.ini files;Environment variables (e.g., Bash);Application main arguments",Via an IO library to read the configuration storage.;Via dedicated classes/functions that we developed for configuration access,From tables and/or maps containing configuration options and values;Via method/function accessors (for example getMyOption),We read configuration options from a specific class/module,Certain expert developers,Limiting issues caused by bad config options,"Yes, they are defined in the client specifications;Yes, they are defined in the architecture specifications",Client requirements.;Architectural specifications.;Discussion between developers and architects.,Orally;Chat support (like Slack or Hangout);Via Wiki or a web platform;Textual documentation,"Yes. We do have a naming convention, and all the developers respect it.",Sometimes,2,Log file;Error message;Debug the code;Stack Trace,In a Bug report (like Bugzilla);In text document,"Yes, I know the impact of the majority of configuration options.",Documentation.;Ask a colleague;Configuration option comments.;Configuration name is clear enough to be understood.;I understand configuration options from the source code,"No, they are almost stable","Remove them from the configuration files, and do not store them anywhere.",3,4,"Schedule, target audience of the project","Yes, we review both functional and technical configuration options.",We have tools to check correctness of the values;Security implications of configuration options are tested,Comment and document configuration options.;Reduce the number of configuration options.;Planning ahead the creation of options.,-,-
